"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","ResourceName","RDataPath","Tags"
"baca_sampleMap_20230215","baca_sampleMap_20230215 MAE-object sampleMap of baca cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad_2013",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","baca_sampleMap_20230215.Rds","curatedPCaData/baca_sampleMap_20230215.Rds","sampleMap"
"barbieri_cna.gistic_20230215","barbieri_cna.gistic_20230215 Copy number alteration GISTIC data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_cna.gistic_20230215.Rds","curatedPCaData/barbieri_cna.gistic_20230215.Rds","cna.gistic"
"barbieri_gex.relz_20230215","barbieri_gex.relz_20230215 Gene expression (Relative z-score) data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_gex.relz_20230215.Rds","curatedPCaData/barbieri_gex.relz_20230215.Rds","gex.relz"
"barbieri_mut_20230215","barbieri_mut_20230215 Mutation data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","RaggedExperiment","Rds","barbieri_mut_20230215.Rds","curatedPCaData/barbieri_mut_20230215.Rds","mut"
"barbieri_cibersort_20230215","barbieri_cibersort_20230215 Deconvolution using CIBERSORTx data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_cibersort_20230215.Rds","curatedPCaData/barbieri_cibersort_20230215.Rds","cibersort"
"barbieri_xcell_20230215","barbieri_xcell_20230215 Deconvolution using xCell data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_xcell_20230215.Rds","curatedPCaData/barbieri_xcell_20230215.Rds","xcell"
"barbieri_epic_20230215","barbieri_epic_20230215 Deconvolution using EPIC data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_epic_20230215.Rds","curatedPCaData/barbieri_epic_20230215.Rds","epic"
"barbieri_quantiseq_20230215","barbieri_quantiseq_20230215 Deconvolution using quanTIseq data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_quantiseq_20230215.Rds","curatedPCaData/barbieri_quantiseq_20230215.Rds","quantiseq"
"barbieri_mcp_20230215","barbieri_mcp_20230215 Deconvolution using MCP counter data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_mcp_20230215.Rds","curatedPCaData/barbieri_mcp_20230215.Rds","mcp"
"barbieri_estimate_20230215","barbieri_estimate_20230215 Deconvolution using ESTIMATE data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_estimate_20230215.Rds","curatedPCaData/barbieri_estimate_20230215.Rds","estimate"
"barbieri_scores_20230215","barbieri_scores_20230215 Various gene expression risk and marker scores data of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barbieri_scores_20230215.Rds","curatedPCaData/barbieri_scores_20230215.Rds","scores"
"barbieri_colData_20230215","barbieri_colData_20230215 Clinical metadata (colData-slot) of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","barbieri_colData_20230215.Rds","curatedPCaData/barbieri_colData_20230215.Rds","clinical"
"barbieri_sampleMap_20230215","barbieri_sampleMap_20230215 MAE-object sampleMap of barbieri cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","barbieri_sampleMap_20230215.Rds","curatedPCaData/barbieri_sampleMap_20230215.Rds","sampleMap"
"barwick_gex.logq_20230215","barwick_gex.logq_20230215 Gene expression (Log-quantile norm) data of barwick cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18655",NA,"Homo sapiens","9606",NA,"Emory University","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barwick_gex.logq_20230215.Rds","curatedPCaData/barwick_gex.logq_20230215.Rds","gex.logq"
"barwick_cibersort_20230215","barwick_cibersort_20230215 Deconvolution using CIBERSORTx data of barwick cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18655",NA,"Homo sapiens","9606",NA,"Emory University","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barwick_cibersort_20230215.Rds","curatedPCaData/barwick_cibersort_20230215.Rds","cibersort"
"barwick_quantiseq_20230215","barwick_quantiseq_20230215 Deconvolution using quanTIseq data of barwick cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18655",NA,"Homo sapiens","9606",NA,"Emory University","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barwick_quantiseq_20230215.Rds","curatedPCaData/barwick_quantiseq_20230215.Rds","quantiseq"
"barwick_estimate_20230215","barwick_estimate_20230215 Deconvolution using ESTIMATE data of barwick cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18655",NA,"Homo sapiens","9606",NA,"Emory University","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barwick_estimate_20230215.Rds","curatedPCaData/barwick_estimate_20230215.Rds","estimate"
"barwick_scores_20230215","barwick_scores_20230215 Various gene expression risk and marker scores data of barwick cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18655",NA,"Homo sapiens","9606",NA,"Emory University","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barwick_scores_20230215.Rds","curatedPCaData/barwick_scores_20230215.Rds","scores"
"barwick_mcp_20230215","barwick_mcp_20230215 Deconvolution using MCP counter data of barwick cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18655",NA,"Homo sapiens","9606",NA,"Emory University","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","barwick_mcp_20230215.Rds","curatedPCaData/barwick_mcp_20230215.Rds","mcp"
"barwick_colData_20230215","barwick_colData_20230215 Clinical metadata (colData-slot) of barwick cohort in curatedPCaData package","3.17",NA,"TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18655",NA,"Homo sapiens","9606",NA,"Emory University","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","barwick_colData_20230215.Rds","curatedPCaData/barwick_colData_20230215.Rds","clinical"
"barwick_sampleMap_20230215","barwick_sampleMap_20230215 MAE-object sampleMap of barwick cohort in curatedPCaData package","3.17",NA,"TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18655",NA,"Homo sapiens","9606",NA,"Emory University","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","barwick_sampleMap_20230215.Rds","curatedPCaData/barwick_sampleMap_20230215.Rds","sampleMap"
"chandran_gex.rma_20230215","chandran_gex.rma_20230215 Gene expression (RMA) data of chandran cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","chandran_gex.rma_20230215.Rds","curatedPCaData/chandran_gex.rma_20230215.Rds","gex.rma"
"chandran_cibersort_20230215","chandran_cibersort_20230215 Deconvolution using CIBERSORTx data of chandran cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","chandran_cibersort_20230215.Rds","curatedPCaData/chandran_cibersort_20230215.Rds","cibersort"
"chandran_xcell_20230215","chandran_xcell_20230215 Deconvolution using xCell data of chandran cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","chandran_xcell_20230215.Rds","curatedPCaData/chandran_xcell_20230215.Rds","xcell"
"chandran_epic_20230215","chandran_epic_20230215 Deconvolution using EPIC data of chandran cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","chandran_epic_20230215.Rds","curatedPCaData/chandran_epic_20230215.Rds","epic"
"chandran_quantiseq_20230215","chandran_quantiseq_20230215 Deconvolution using quanTIseq data of chandran cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","chandran_quantiseq_20230215.Rds","curatedPCaData/chandran_quantiseq_20230215.Rds","quantiseq"
"chandran_estimate_20230215","chandran_estimate_20230215 Deconvolution using ESTIMATE data of chandran cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","chandran_estimate_20230215.Rds","curatedPCaData/chandran_estimate_20230215.Rds","estimate"
"chandran_scores_20230215","chandran_scores_20230215 Various gene expression risk and marker scores data of chandran cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","chandran_scores_20230215.Rds","curatedPCaData/chandran_scores_20230215.Rds","scores"
"chandran_mcp_20230215","chandran_mcp_20230215 Deconvolution using MCP counter data of chandran cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","chandran_mcp_20230215.Rds","curatedPCaData/chandran_mcp_20230215.Rds","mcp"
"chandran_colData_20230215","chandran_colData_20230215 Clinical metadata (colData-slot) of chandran cohort in curatedPCaData package","3.17",NA,"TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","chandran_colData_20230215.Rds","curatedPCaData/chandran_colData_20230215.Rds","clinical"
"chandran_sampleMap_20230215","chandran_sampleMap_20230215 MAE-object sampleMap of chandran cohort in curatedPCaData package","3.17",NA,"TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE6919",NA,"Homo sapiens","9606",NA,"University of Pittsburgh","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","chandran_sampleMap_20230215.Rds","curatedPCaData/chandran_sampleMap_20230215.Rds","sampleMap"
"friedrich_gex.logq_20230215","friedrich_gex.logq_20230215 Gene expression (Log-quantile norm) data of friedrich cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","friedrich_gex.logq_20230215.Rds","curatedPCaData/friedrich_gex.logq_20230215.Rds","gex.logq"
"friedrich_cibersort_20230215","friedrich_cibersort_20230215 Deconvolution using CIBERSORTx data of friedrich cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","friedrich_cibersort_20230215.Rds","curatedPCaData/friedrich_cibersort_20230215.Rds","cibersort"
"friedrich_xcell_20230215","friedrich_xcell_20230215 Deconvolution using xCell data of friedrich cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","friedrich_xcell_20230215.Rds","curatedPCaData/friedrich_xcell_20230215.Rds","xcell"
"friedrich_epic_20230215","friedrich_epic_20230215 Deconvolution using EPIC data of friedrich cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","friedrich_epic_20230215.Rds","curatedPCaData/friedrich_epic_20230215.Rds","epic"
"friedrich_quantiseq_20230215","friedrich_quantiseq_20230215 Deconvolution using quanTIseq data of friedrich cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","friedrich_quantiseq_20230215.Rds","curatedPCaData/friedrich_quantiseq_20230215.Rds","quantiseq"
"friedrich_estimate_20230215","friedrich_estimate_20230215 Deconvolution using ESTIMATE data of friedrich cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","friedrich_estimate_20230215.Rds","curatedPCaData/friedrich_estimate_20230215.Rds","estimate"
"friedrich_scores_20230215","friedrich_scores_20230215 Various gene expression risk and marker scores data of friedrich cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","friedrich_scores_20230215.Rds","curatedPCaData/friedrich_scores_20230215.Rds","scores"
"friedrich_mcp_20230215","friedrich_mcp_20230215 Deconvolution using MCP counter data of friedrich cohort in curatedPCaData package","3.17",NA,"tar.gz","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","friedrich_mcp_20230215.Rds","curatedPCaData/friedrich_mcp_20230215.Rds","mcp"
"friedrich_colData_20230215","friedrich_colData_20230215 Clinical metadata (colData-slot) of friedrich cohort in curatedPCaData package","3.17",NA,"TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","friedrich_colData_20230215.Rds","curatedPCaData/friedrich_colData_20230215.Rds","clinical"
"friedrich_sampleMap_20230215","friedrich_sampleMap_20230215 MAE-object sampleMap of friedrich cohort in curatedPCaData package","3.17",NA,"TXT","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134051",NA,"Homo sapiens","9606",NA,"Fraunhofer Institute","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","friedrich_sampleMap_20230215.Rds","curatedPCaData/friedrich_sampleMap_20230215.Rds","sampleMap"
"hieronymus_cna.gistic_20230215","hieronymus_cna.gistic_20230215 Copy number alteration GISTIC data of hieronymus cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_mskcc_2014",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","hieronymus_cna.gistic_20230215.Rds","curatedPCaData/hieronymus_cna.gistic_20230215.Rds","cna.gistic"
"hieronymus_colData_20230215","hieronymus_colData_20230215 Clinical metadata (colData-slot) of hieronymus cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_mskcc_2014",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","hieronymus_colData_20230215.Rds","curatedPCaData/hieronymus_colData_20230215.Rds","clinical"
"hieronymus_sampleMap_20230215","hieronymus_sampleMap_20230215 MAE-object sampleMap of hieronymus cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_mskcc_2014",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","hieronymus_sampleMap_20230215.Rds","curatedPCaData/hieronymus_sampleMap_20230215.Rds","sampleMap"
"icgcca_gex.rma_20230215","icgcca_gex.rma_20230215 Gene expression (RMA) data of icgcca cohort in curatedPCaData package","3.17",NA,"tar.gz","https://dcc.icgc.org/releases/current/Projects/PRAD-CA","Release28","Homo sapiens","9606",NA,"ICGC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","icgcca_gex.rma_20230215.Rds","curatedPCaData/icgcca_gex.rma_20230215.Rds","gex.rma"
"icgcca_cibersort_20230215","icgcca_cibersort_20230215 Deconvolution using CIBERSORTx data of icgcca cohort in curatedPCaData package","3.17",NA,"tar.gz","https://dcc.icgc.org/releases/current/Projects/PRAD-CA","Release28","Homo sapiens","9606",NA,"ICGC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","icgcca_cibersort_20230215.Rds","curatedPCaData/icgcca_cibersort_20230215.Rds","cibersort"
"icgcca_xcell_20230215","icgcca_xcell_20230215 Deconvolution using xCell data of icgcca cohort in curatedPCaData package","3.17",NA,"tar.gz","https://dcc.icgc.org/releases/current/Projects/PRAD-CA","Release28","Homo sapiens","9606",NA,"ICGC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","icgcca_xcell_20230215.Rds","curatedPCaData/icgcca_xcell_20230215.Rds","xcell"
"icgcca_epic_20230215","icgcca_epic_20230215 Deconvolution using EPIC data of icgcca cohort in curatedPCaData package","3.17",NA,"tar.gz","https://dcc.icgc.org/releases/current/Projects/PRAD-CA","Release28","Homo sapiens","9606",NA,"ICGC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","icgcca_epic_20230215.Rds","curatedPCaData/icgcca_epic_20230215.Rds","epic"
"icgcca_quantiseq_20230215","icgcca_quantiseq_20230215 Deconvolution using quanTIseq data of icgcca cohort in curatedPCaData package","3.17",NA,"tar.gz","https://dcc.icgc.org/releases/current/Projects/PRAD-CA","Release28","Homo sapiens","9606",NA,"ICGC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","icgcca_quantiseq_20230215.Rds","curatedPCaData/icgcca_quantiseq_20230215.Rds","quantiseq"
"icgcca_estimate_20230215","icgcca_estimate_20230215 Deconvolution using ESTIMATE data of icgcca cohort in curatedPCaData package","3.17",NA,"tar.gz","https://dcc.icgc.org/releases/current/Projects/PRAD-CA","Release28","Homo sapiens","9606",NA,"ICGC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","icgcca_estimate_20230215.Rds","curatedPCaData/icgcca_estimate_20230215.Rds","estimate"
