Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM526144,Prostate tumor PCA0013 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526144/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526145,Prostate tumor PCA0014 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526145/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526146,Prostate tumor PCA0015 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526146/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526147,Prostate tumor PCA0017 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526147/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526148,Prostate tumor PCA0018 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526148/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526149,Prostate tumor PCA0020 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526149/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526150,Prostate tumor PCA0021 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526150/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526151,Prostate tumor PCA0022 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526151/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526152,Prostate tumor PCA0024 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526152/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526153,Prostate tumor PCA0025 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526153/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526154,Prostate tumor PCA0026 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526154/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526155,Prostate tumor PCA0027 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526155/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526156,Prostate tumor PCA0028 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526156/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526157,Prostate tumor PCA0029 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526157/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526158,Prostate tumor PCA0030 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526158/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526159,Prostate tumor PCA0031 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526159/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526160,Prostate tumor PCA0032 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526160/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526161,Prostate tumor PCA0033 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526161/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526162,Prostate tumor PCA0034 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526162/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526163,Prostate tumor PCA0035 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526163/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526164,Prostate tumor PCA0036 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526164/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526165,Prostate tumor PCA0037 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526165/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526166,Prostate tumor PCA0038 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526166/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526167,Prostate tumor PCA0040 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526167/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526168,Prostate tumor PCA0050 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526168/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526169,Prostate tumor PCA0052 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526169/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526170,Prostate tumor PCA0054 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526170/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526171,Prostate tumor PCA0056 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526171/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526172,Prostate tumor PCA0057 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526172/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526173,Prostate tumor PCA0058 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526173/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526174,Prostate tumor PCA0062 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526174/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526175,Prostate tumor PCA0063 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526175/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526176,Prostate tumor PCA0064 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526176/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526177,Prostate tumor PCA0065 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526177/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526178,Prostate tumor PCA0066 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526178/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526179,Prostate tumor PCA0068 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526179/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526180,Prostate tumor PCA0073 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526180/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526181,Prostate tumor PCA0074 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526181/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526182,Prostate tumor PCA0075 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526182/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526183,Prostate tumor PCA0077 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526183/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526184,Prostate tumor PCA0080 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526184/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526185,Prostate tumor PCA0081 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526185/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526186,Prostate tumor PCA0082 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526186/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526187,Prostate tumor PCA0083 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526187/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526188,Prostate tumor PCA0084 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526188/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526189,Prostate tumor PCA0086 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526189/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526190,Prostate tumor PCA0087 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526190/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526191,Prostate tumor PCA0089 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526191/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526192,Prostate tumor PCA0090 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526192/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526193,Prostate tumor PCA0092 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526193/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526194,Prostate tumor PCA0093 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526194/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526195,Prostate tumor PCA0094 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526195/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526196,Prostate tumor PCA0095 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526196/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526197,Prostate tumor PCA0096 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526197/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526198,Prostate tumor PCA0097 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526198/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526199,Prostate tumor PCA0099 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526199/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526200,Prostate tumor PCA0100 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526200/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526201,Prostate tumor PCA0101 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526201/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526202,Prostate tumor PCA0103 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526202/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526203,Prostate tumor PCA0104 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526203/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526204,Prostate tumor PCA0105 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526204/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526205,Prostate tumor PCA0107 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526205/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526206,Prostate tumor PCA0108 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526206/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526207,Prostate tumor PCA0109 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526207/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526208,Prostate tumor PCA0110 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526208/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526209,Prostate tumor PCA0111 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526209/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526210,Prostate tumor PCA0112 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526210/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526211,Prostate tumor PCA0113 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526211/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526212,Prostate tumor PCA0114 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526212/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526213,Prostate tumor PCA0115 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526213/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526214,Prostate tumor PCA0117 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526214/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526215,Prostate tumor PCA0118 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526215/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526216,Prostate tumor PCA0119 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526216/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526217,Prostate tumor PCA0120 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526217/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526218,Prostate tumor PCA0122 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526218/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526219,Prostate tumor PCA0123 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526219/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526220,Prostate tumor PCA0124 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526220/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526221,Prostate tumor PCA0125 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526221/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526222,Prostate tumor PCA0126 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526222/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526223,Prostate tumor PCA0127 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526223/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526224,Prostate tumor PCA0128 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526224/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526225,Prostate tumor PCA0129 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526225/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526226,Prostate tumor PCA0130 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526226/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526227,Prostate tumor PCA0132 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526227/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526228,Prostate tumor PCA0133 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526228/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526229,Prostate tumor PCA0134 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526229/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526230,Prostate tumor PCA0135 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526230/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526231,Prostate tumor PCA0136 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526231/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526232,Prostate tumor PCA0141 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526232/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526233,Prostate tumor PCA0144 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526233/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526234,Prostate tumor PCA0145 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526234/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526235,Prostate tumor PCA0146 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526235/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526236,Prostate tumor PCA0147 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526236/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526237,Prostate tumor PCA0149 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526237/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526238,Prostate tumor PCA0150 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526238/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526239,Prostate tumor PCA0151 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526239/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526240,Prostate tumor PCA0155 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526240/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526241,Prostate tumor PCA0156 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526241/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526242,Prostate tumor PCA0157 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526242/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526243,Prostate tumor PCA0158 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526243/suppl,,Barry Stephen Taylor,24-Jun-10
