"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","supplementary_file.2","supplementary_file.3","data_row_count"
"GSM208076","Fusion: No, Deletion: No (prostate_12062)","GSM208076","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208076/GSM208076_1514599012_R007_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208076/GSM208076_1514599022_R007_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208076/GSM208076_1514599026_R007_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208076/GSM208076_1514610008_R007_C005.txt.gz","6144"
"GSM208077","Fusion: No, Deletion: unknown (prostate_12146)","GSM208077","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208077/GSM208077_1514599012_R003_C009.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208077/GSM208077_1514599022_R003_C009.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208077/GSM208077_1514599026_R003_C009.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208077/GSM208077_1514610008_R003_C009.txt.gz","6144"
"GSM208078","Fusion: No, Deletion: No (prostate_12229)","GSM208078","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208078/GSM208078_1514599012_R007_C012.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208078/GSM208078_1514599022_R007_C012.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208078/GSM208078_1514599026_R007_C012.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208078/GSM208078_1514610008_R007_C012.txt.gz","6144"
"GSM208079","Fusion: No, Deletion: No (prostate_12278)","GSM208079","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208079/GSM208079_1514599012_R002_C002.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208079/GSM208079_1514599022_R002_C002.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208079/GSM208079_1514599026_R002_C002.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208079/GSM208079_1514610008_R002_C002.txt.gz","6144"
"GSM208080","Fusion: No, Deletion: No (prostate_12344)","GSM208080","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208080/GSM208080_1514599012_R002_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208080/GSM208080_1514599022_R002_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208080/GSM208080_1514599026_R002_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208080/GSM208080_1514610008_R002_C008.txt.gz","6144"
"GSM208081","Fusion: No, Deletion: No (prostate_12484)","GSM208081","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208081/GSM208081_1514599012_R007_C007.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208081/GSM208081_1514599022_R007_C007.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208081/GSM208081_1514599026_R007_C007.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208081/GSM208081_1514610008_R007_C007.txt.gz","6144"
"GSM208082","Fusion: No, Deletion: unknown (prostate_12492)","GSM208082","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208082/GSM208082_1514599012_R007_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208082/GSM208082_1514599022_R007_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208082/GSM208082_1514599026_R007_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208082/GSM208082_1514610008_R007_C008.txt.gz","6144"
"GSM208083","Fusion: No, Deletion: No (prostate_12518)","GSM208083","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208083/GSM208083_1514599012_R001_C007.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208083/GSM208083_1514599022_R001_C007.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208083/GSM208083_1514599026_R001_C007.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208083/GSM208083_1514610008_R001_C007.txt.gz","6144"
"GSM208084","Fusion: Yes, Deletion: Yes (prostate_12633)","GSM208084","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: YES","DELETION: YES","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208084/GSM208084_1514599012_R005_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208084/GSM208084_1514599022_R005_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208084/GSM208084_1514599026_R005_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208084/GSM208084_1514610008_R005_C003.txt.gz","6144"
"GSM208085","Fusion: unknown, Deletion: unknown (prostate_12641)","GSM208085","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION:","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208085/GSM208085_1514599012_R005_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208085/GSM208085_1514599022_R005_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208085/GSM208085_1514599026_R005_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208085/GSM208085_1514610008_R005_C010.txt.gz","6144"
"GSM208086","Fusion: No, Deletion: No (prostate_12823)","GSM208086","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208086/GSM208086_1514599012_R006_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208086/GSM208086_1514599022_R006_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208086/GSM208086_1514599026_R006_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208086/GSM208086_1514610008_R006_C003.txt.gz","6144"
"GSM208087","Fusion: No, Deletion: No (prostate_12872)","GSM208087","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208087/GSM208087_1514599012_R003_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208087/GSM208087_1514599022_R003_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208087/GSM208087_1514599026_R003_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208087/GSM208087_1514610008_R003_C003.txt.gz","6144"
"GSM208088","Fusion: Yes, Deletion: Yes (prostate_12898)","GSM208088","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: YES","DELETION: YES","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208088/GSM208088_1514599012_R007_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208088/GSM208088_1514599022_R007_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208088/GSM208088_1514599026_R007_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208088/GSM208088_1514610008_R007_C010.txt.gz","6144"
"GSM208089","Fusion: No, Deletion: No (prostate_12997)","GSM208089","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208089/GSM208089_1514599012_R002_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208089/GSM208089_1514599022_R002_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208089/GSM208089_1514599026_R002_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208089/GSM208089_1514610008_R002_C010.txt.gz","6144"
"GSM208090","Fusion: No, Deletion: No (prostate_13003)","GSM208090","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208090/GSM208090_1514599012_R001_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208090/GSM208090_1514599022_R001_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208090/GSM208090_1514599026_R001_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208090/GSM208090_1514610008_R001_C005.txt.gz","6144"
