accession,pubMedIds,platform_title,citation,name,platform_summary,platform_manufacturer,platform_distribution,platform_accession,technology_type,year,title
GSE7949,,University of Pennsylvania/Nathanson Lab_HomoSapiens_ChromosomeRegion_Virtual,,,,Weber Laboratory/School of Medicine/University of Pennsylvania,virtual,GPL5338,other,2007,Prostate Adenocarcinoma: Candidate Genomic Signatures Prognostic of Biochemical Failure
GSE8511,,Agilent-012391 Whole Human Genome Oligo Microarray G4112A (Feature Number version),,"Poisson, Chinnaiyan 2011",,Agilent,commercial,GPL1708,in situ oligonucleotide,2011,Profiling of prostate tissues in prostate cancer progression
GSE9347,19148481,CNIO H. sapiens 13.6k Oncochip 1,"Arencibia JM, Martên S, P_rez-Rodrêguez FJ, Bonnin A. Gene expression profiling reveals overexpression of TSPAN13 in prostate cancer. Int J Oncol 2009 Feb;34(2):457-63.","Arencibia, Bonnin 2009",,,non-commercial,GPL1998,spotted DNA/cDNA,2009,Gene expression profiling reveals overexpression of TSPAN13 in prostate cancer.
GSE10645-GPL5858,18846227,DASL Human Cancer Panel by Gene,"Nakagawa T, Kollmeyer TM, Morlan BW, Anderson SK et al. A tissue biomarker panel predicting systemic progression after PSA recurrence post-definitive prostate cancer therapy. PLoS One 2008;3(5):e2318.","Nakagawa,  Jenkins 2008",,Illumina,commercial,GPL5858,oligonucleotide beads,2008,A tissue biomarker panel predicting systemic progression after PSA recurrence post-definitive prostate cancer therapy.
GSE10645-GPL5873,18846227,DASL Human Cancer Panel by Gene,"Nakagawa T, Kollmeyer TM, Morlan BW, Anderson SK et al. A tissue biomarker panel predicting systemic progression after PSA recurrence post-definitive prostate cancer therapy. PLoS One 2008;3(5):e2318.","Nakagawa,  Jenkins 2008",,Illumina,commercial,GPL5873,oligonucleotide beads,2008,A tissue biomarker panel predicting systemic progression after PSA recurrence post-definitive prostate cancer therapy.
GSE14206,"20479932, 21266046",Agilent-012097 Human 1A Microarray (V2) G4110B (Feature Number version),,,,Agilent,commercial,GPL887,in situ oligonucleotide,,
GSE16560,20233430,Human 6k Transcriptionally Informative Gene Panel for DASL,"Sboner A, Demichelis F, Calza S, Pawitan Y et al. Molecular sampling of prostate cancer: a dilemma for predicting disease progression. BMC Med Genomics 2010 Mar 16;3:8.","Sboner, Andr_n 2010",,Illumina,commercial,GPL5474,oligonucleotide beads,2010,Molecular sampling of prostate cancer: a dilemma for predicting disease progression.
GSE21032-GPL5188,20579941,[HuEx-1_0-st] Affymetrix Human Exon 1.0 ST Array [probe set (exon) version],"Taylor BS, Schultz N, Hieronymus H, Gopalan A et al. Integrative genomic profiling of human prostate cancer. Cancer Cell 2010 Jul 13;18(1):11-22. ","Taylor, Gerald 2010",,Affymetrix ,commercial,GPL5188,in situ oligonucleotide,2010,Integrative genomic profiling of human prostate cancer. 
GSE25136,19343730,[HG-U133A] Affymetrix Human Genome U133A Array,"Sun Y, Goodison S. Optimizing molecular signatures for predicting prostate cancer recurrence. Prostate 2009 Jul 1;69(10):1119-27.","Sun,  Goodison 2009",,Affymetrix ,commercial,GPL96,in situ oligonucleotide,2009,Optimizing molecular signatures for predicting prostate cancer recurrence.
PMID16618720-GPL96,16618720,[HG-U133A] Affymetrix Human Genome U133A Array,"Liu P, Ramachandran S, Ali Seyed M, Scharer CD, Laycock N, Dalton WB, Williams H, Karanam S, Datta MW, Jaye DL, Moreno CS Cancer Res. 2006 Apr 15;66(8):4011-9","Liu P,  Moreno CS  2006 ",,Affymetrix ,commercial,GPL96,in situ oligonucleotide,2006,Sex-determining region Y box 4 is a transforming oncogene in human prostate cancer cells
PMID16618720-GPL97,16618720,[HG-U133A] Affymetrix Human Genome U133B Array,"Liu P, Ramachandran S, Ali Seyed M, Scharer CD, Laycock N, Dalton WB, Williams H, Karanam S, Datta MW, Jaye DL, Moreno CS Cancer Res. 2006 Apr 15;66(8):4011-9","Liu P,  Moreno CS  2006 ",,Affymetrix ,commercial,GPL97,in situ oligonucleotide,2006,Sex-determining region Y box 4 is a transforming oncogene in human prostate cancer cells
GSE2109,PMID unknown,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,"EXpression Project for Oncology, International Genomics Consortium, www.intgen.org","expO, IGC 2005",hgu133plus2,Affymetrix,commercial,GPL570,in situ oligonucleotide,2005,IGC EXpression Project for Oncology
