col.name,var.class,uniqueness,requiredness,allowedvalues,description,,
M_stage,character,non-unique,optional,X|0|1,"At the time of surgery. X: cannot evaluate distant metastasis, 0: there is no distant metastasis, 1: there is distant metastasis",,
M_substage,character,non-unique,optional,[abc],"M1a: the cancer has spread to lymph nodes beyond the regional ones, M1b: the cancer has spread to_bone, M1c: the cancer has spread to other sites (regardless of bone involvement)",,
other_patient,string,non-unique,optional,*,"a string that captures any additional patient information, features separated by bar (e.g. feature 1|feature 2|feature 3)",,
sample_type,character,non-unique,optional,primary|metastatic|normal|BPH|cell.line|xenograft,"type of tissue isolated from the patient and used for further -omic profiling. Normal samples include both healthy individuals and healthy tissue from PCa patients, and metastatic indicates non-primary tumors",,
sample_paired,integer,non-unique,optional,1|0,"Whether the platform produces paired sample (e.g. 2-channel relative intensities); the paired sample can be a patient specific paired sample or a generic panel of normals",,
genomic_alterations,string,non-unique,optional,*,"captures the list of reported alterations in the sample, in the format, gene:event, separated by a bar (eg. TP53:mutation|ETV1:fusion|PTEN:deletion)",,
tumor_margins_positive,integer,non-unique,optional,1|0,Histologically altered cells in any surgical margins,,
tissue_source,character,non-unique,optional,biopsy|TURP|prostatectomy|prostatectomy_and_TURP|autopsy|cystoprostatectomy|other,the source of the sample,,
metastatic_site,character,non-unique,optional,prostate|liver|lung|bone|brain|lymph_node|soft_tissue|adrenal_gland|other,site where the metastatic sample was taken from,,
microdissected,integer,non-unique,optional,1|0,microdissected or not,,
frozen_ffpe,character,non-unique,optional,frozen|FFPE,frozen or FFPE,,
other_feature,character,non-unique,optional,CRPC|cribriform|neuroendocrine,other descriptions of the sample,,
batch,character,non-unique,optional,*,A way that describes a batch and provides an effect that can be modeled (can be numeric or categorical),,
other_sample,string,non-unique,optional,*,"a string that captures any additional sample information, features separated by bar (e.g. feature 1|feature 2|feature 3)",,
tumor_purity_pathology,integer,non-unique,optional,[0-100],estimate of the tumor purity according to pathological assessment,,
tumor_purity_demixt,integer,non-unique,optional,[0-100],estimate of the tumor purity in the sample using the DeMixT method,,
tumor_purity_absolute,integer,non-unique,optional,[0-100],estimate of the tumor purity in the sample using Absolute,,
tumor_purity_ascat,numeric,non-unique,optional,[0-100],estimate of the tumor purity in the sample using ASCAT (Allele-Specific Copy number Analysis of Tumours),,
zone_of_origin,character,non-unique,optional,transitional|peripheral|mixed|central,zone of origin assessed through tissue pathology,,
zone_of_origin_estimated,character,non-unique,optional,transitional|peripheral,estimate of zone of origin using the method from Sinnott et al.,,
mutational_signatures,string,non-unique,optional,[],estimate of mutational signatures using deconstructSigs,,
neoantigen_load,string,non-unique,optional,[],estimate of mutational load using NetMHCPan,,
AR_activity,integer,non-unique,optional,[0-100],"AR 20-gene signature as provided by original authors",,
prolaris,numeric,non-unique,optional,*,"Prolaris risk score as provided by original authors",,
decipher,numeric,non-unique,optional,*,"Decipher risk score as provided by original authors",,
oncotypedx,numeric,non-unique,optional,*,"Oncotype DX risk score as provided by original authors",,
N_stage,character,non-unique,optional,X|0|1|2|3,"regional lymph node status at the time of surgery.  X: cannot be measured, 0: no cancer in nearby lymph nodes, 1,2,3: the number and location of lymph nodes that contain cancer",,
N_substage,character,non-unique,optional,[abc],"1a: the cancer has spread to lymph nodes beyond the regional ones, 1b: the cancer has spread to_bone, M1c: the cancer has spread to other sites (regardless of bone involvement)",,
therapy_radiation_initial,integer,non-unique,optional,1|0,was radiation given as a primary therapy?,,
therapy_radiation_salvage,integer,non-unique,optional,1|0,was radiation given after relapse from surgery?,,
therapy_surgery_initial,integer,non-unique,optional,1|0,was surgery given as a primary therapy?,,
therapy_hormonal_initial,integer,non-unique,optional,1|0,was hormonal therapy given as a primary therapy?,,
other_treatment,string,non-unique,optional,"fish_oil|no_neoadjuvant|prednisone|selenium|vitaminE|taxane,any other treatments",,,
psa_category,string,non-unique,optional,Normal|Elevated,was psa normal or elevated in the patient?,,
genome_altered,numeric,non-unique,optional,[0-x],"numeric value depicting fraction of genome altered or absolute number mutations called preferring prior",,
